County,Location,Address,Latitude,Longitude
Montgomery,Walt Whitman High School,"7100 Whittier Boulevard, Bethesda, MD 20817",38.981708,-77.12768
Montgomery,Walter Johnson High School,"6400 Rock Spring Drive, Bethesda, MD 20814",39.025724,-77.130426
Montgomery,Watkins Mill High School,"10301 Apple Ridge Road, Gaithersburg, MD 20879",39.1837,-77.216138
Montgomery,Wheaton High School,"12401 Dalewood Drive, Silver Spring, MD 20906",39.059896,-77.067297
Montgomery,Wheaton Library & Community Recreation Center,"11701 Georgia Avenue, Wheaton, MD 20902",39.047694,-77.051371
Montgomery,White Oak Community Recreation Center,"1700 April Lane, Silver Spring, MD 20904",39.045988,-76.975182
Montgomery,Wilson Wims Elementary School,"12520 Blue Sky Drive, Clarksburg, MD 20871",39.237063,-77.261309
Montgomery,Winston Churchill High School,"11300 Gainsborough Road, Potomac, MD 20854",39.044017,-77.173037
Prince George's,Baden Community Center,"13601 Baden-Westwood Road, Brandywine, MD  20613",38.660735,-76.770359
Prince George's,Beltsville Community Center,"3900 Sellman Road, Beltsville, MD 20705",39.038232,-76.932274
Prince George's,Berwyn Heights Community Center,"6200 Pontiac Street, Berwyn Heights, MD 20740",38.991826,-76.909653
Prince George's,Bladensburg Community Center,"4500 57th Ave, Bladensburg, MD 20710",38.945548,-76.917438
Prince George's,Bowie Community Center,"3209 Stonybrook Drive, Bowie, MD 20715",38.977403,-76.736566
Prince George's,Bowie Gymnasium,"4100 Northview Dr, Bowie, MD 20716",38.944905,-76.740783
Prince George's,Bowie State University - Goodloe House,"9300 Laurel Bowie Road, Bowie, MD 20715",39.017819,-76.767238
Prince George's,Cedar Heights Community Center,"1200 Glen Willow Drive, Capitol Heights, MD 20743",38.90558,-76.903573
Prince George's,College Park Community Center,"5051 Pierce Avenue, College Park, MD 20740",38.987236,-76.927342
Prince George's,Deerfield Run Community Center,"13000 Laurel Bowie Road, Laurel, MD 20708",39.071166,-76.846483
Prince George's,Glassmanor Community Center,"1101 Marcy Avenue, Oxon Hill, MD 20745",38.816321,-76.989334
Prince George's,Glenarden/Theresa Banks Complex,"8615 Mclain Avenue, Glenarden, MD 20706",38.930459,-76.866418
Prince George's,Glenn Dale Community Center,"11901 Glenn Dale Blvd, Glenn Dale, MD 20769",38.974139,-76.801179
Prince George's,Good Luck Community Center,"8601 Good Luck Road, Lanham, MD  20706",38.976999,-76.859958
Prince George's,Harmony Hall Regional Center,"10701 Livingston Road, Fort Washington, MD 20744",38.743869,-77.000441
Prince George's,Hillcrest Heights Community Center,"2300 Oxon Run Drive, Temple Hills, MD 20748",38.845072,-76.96529
Prince George's,John E. Howard Community Center,"4400 Shell Street, Capitol Heights, MD 20743",38.868756,-76.930557
Prince George's,Kentland Community Center,"2413 Pinebrook Road, Landover, MD 20785",38.924263,-76.895663
Prince George's,Lake Arbor Community Center,"10100 Lake Arbor Way, Mitchellville, MD 20721",38.906639,-76.830239
Prince George's,Largo/Kettering/Perrywood Community Center,"431 Watkins Park Drive, Upper Marlboro, MD 20774",38.884079,-76.7844
Prince George's,Laurel-Beltsville Senior Activity Center,"7120 Contee Road, Laurel, MD 20707",39.087556,-76.883622
Prince George's,Life Covenant Christian Ministries,"15522 Livingston Road, Accokeek, MD 20607",38.671321,-76.992413
Prince George's,New Carrollton Library,"7414 Riverdale Road, New Carrollton, MD 20784",38.962377,-76.882638
Prince George's,North Brentwood Community Center,"4012 Webster Street, Brentwood, MD 20722",38.943908,-76.951945
Prince George's,North Forestville Community Center,"2311 Ritchie Road, Forestville, MD 20747",38.857098,-76.873599
Prince George's,Peppermill Community Center,"610 Hill Road, Landover, MD 20785",38.898502,-76.884315
Prince George's,Prince George's Board of Elections Office,"1100 Mercantile Lane, Suite 115A, Largo, MD 20774",38.905995,-76.839225
Prince George's,Prince George's Community Center,"6600 Adelphi Road, Hyattsville, MD 20782",38.970453,-76.949693
Prince George's,Riderwood Wellness Center,"3138 Gracefield Road, Silver Spring, MD 20904",39.04921,-76.947655
Prince George's,Rollingcrest-Chillum Community Center,"6120 Sargent Road, Chillum, MD 20782",38.964894,-76.984726
Prince George's,South Bowie Community Center,"1717 Pittsfield Lane, Bowie, MD 20716",38.914073,-76.719765
Prince George's,Southern Area Aquatic and Recreation Complex,"13601 Missouri Avenue, Brandywine, MD 20613",38.702764,-76.855048
Prince George's,Southern Regional Technology and Recreation Complex,"7007 Bock Road, Fort Washington, MD 20744",38.791806,-76.974203
Prince George's,Suitland Community Park School Center,"5600 Regency Lane, Forestville, MD 20747",38.844645,-76.907678
Prince George's,Temple Hills Community Center,"5300 Temple Hills Road, Temple Hills, MD 20748",38.814143,-76.937476
Prince George's,Upper Marlboro Community Center,"5400 Marlboro Race Track Road, Upper Marlboro, MD 20772",38.814425,-76.744059
Prince George's,Wayne K. Curry Sports and Learning Center,"8001 Sheriff Road, Hyattsville, MD 20785",38.911638,-76.867465
